created_at,symbol,name,price,currency,source
2024-10-16,ALI=F,Srebro,31.974,USD,investing_com
2024-10-15,ALI=F,Srebro,31.756,USD,investing_com
2024-10-14,ALI=F,Srebro,31.316,USD,investing_com
2024-10-10,ALI=F,Srebro,31.24,USD,investing_com
2024-10-09,ALI=F,Srebro,30.67,USD,investing_com
2024-10-08,ALI=F,Srebro,30.6,USD,investing_com
2024-10-07,ALI=F,Srebro,32.004,USD,investing_com
2024-10-03,ALI=F,Srebro,32.464,USD,investing_com
2024-10-02,ALI=F,Srebro,31.92,USD,investing_com
2024-10-01,ALI=F,Srebro,31.742,USD,investing_com
2024-09-30,ALI=F,Srebro,31.458,USD,investing_com
2024-09-26,ALI=F,Srebro,32.195,USD,investing_com
2024-09-25,ALI=F,Srebro,31.87,USD,investing_com
2024-09-24,ALI=F,Srebro,32.28,USD,investing_com
2024-09-23,ALI=F,Srebro,30.94,USD,investing_com
2024-09-19,ALI=F,Srebro,31.281,USD,investing_com
2024-09-18,ALI=F,Srebro,30.542,USD,investing_com
2024-09-17,ALI=F,Srebro,30.834,USD,investing_com
2024-09-16,ALI=F,Srebro,30.99,USD,investing_com
2024-09-12,ALI=F,Srebro,29.967,USD,investing_com
2024-09-11,ALI=F,Srebro,28.793,USD,investing_com
2024-09-10,ALI=F,Srebro,28.484,USD,investing_com
2024-09-09,ALI=F,Srebro,28.521,USD,investing_com
2024-09-05,ALI=F,Srebro,28.96,USD,investing_com
2024-09-04,ALI=F,Srebro,28.421,USD,investing_com
2024-09-03,ALI=F,Srebro,28.208,USD,investing_com
2024-09-01,ALI=F,Srebro,29.25,USD,investing_com
2024-08-29,ALI=F,Srebro,29.827,USD,investing_com
2024-08-28,ALI=F,Srebro,29.34,USD,investing_com
2024-08-27,ALI=F,Srebro,30.125,USD,investing_com
2024-08-26,ALI=F,Srebro,30.155,USD,investing_com
2024-08-22,ALI=F,Srebro,29.185,USD,investing_com
2024-08-21,ALI=F,Srebro,29.676,USD,investing_com
2024-08-20,ALI=F,Srebro,29.659,USD,investing_com
2024-08-19,ALI=F,Srebro,29.44,USD,investing_com
2024-08-15,ALI=F,Srebro,28.548,USD,investing_com
2024-08-14,ALI=F,Srebro,27.469,USD,investing_com
2024-08-13,ALI=F,Srebro,27.916,USD,investing_com
2024-08-12,ALI=F,Srebro,28.134,USD,investing_com
2024-08-08,ALI=F,Srebro,27.733,USD,investing_com
2024-08-07,ALI=F,Srebro,27.069,USD,investing_com
2024-08-06,ALI=F,Srebro,27.341,USD,investing_com
2024-08-05,ALI=F,Srebro,27.338,USD,investing_com
2024-08-01,ALI=F,Srebro,28.607,USD,investing_com
2024-07-31,ALI=F,Srebro,29.073,USD,investing_com
2024-07-30,ALI=F,Srebro,28.685,USD,investing_com
2024-07-29,ALI=F,Srebro,27.866,USD,investing_com
2024-07-25,ALI=F,Srebro,27.975,USD,investing_com
2024-07-24,ALI=F,Srebro,29.316,USD,investing_com
2024-07-23,ALI=F,Srebro,29.331,USD,investing_com
2024-07-22,ALI=F,Srebro,29.321,USD,investing_com
2024-07-18,ALI=F,Srebro,30.224,USD,investing_com
2024-07-17,ALI=F,Srebro,30.377,USD,investing_com
2024-07-16,ALI=F,Srebro,31.458,USD,investing_com
2024-07-15,ALI=F,Srebro,30.936,USD,investing_com
2024-07-11,ALI=F,Srebro,31.671,USD,investing_com
2024-07-10,ALI=F,Srebro,31.014,USD,investing_com
2024-07-09,ALI=F,Srebro,31.056,USD,investing_com
2024-07-08,ALI=F,Srebro,30.913,USD,investing_com
2024-07-03,ALI=F,Srebro,30.842,USD,investing_com
2024-07-02,ALI=F,Srebro,29.658,USD,investing_com
2024-07-01,ALI=F,Srebro,29.613,USD,investing_com
2024-06-27,ALI=F,Srebro,29.256,USD,investing_com
2024-06-26,ALI=F,Srebro,29.091,USD,investing_com
2024-06-25,ALI=F,Srebro,29.028,USD,investing_com
2024-06-24,ALI=F,Srebro,29.685,USD,investing_com
2024-06-20,ALI=F,Srebro,30.981,USD,investing_com
2024-06-18,ALI=F,Srebro,29.717,USD,investing_com
2024-06-17,ALI=F,Srebro,29.545,USD,investing_com
2024-06-13,ALI=F,Srebro,29.216,USD,investing_com
2024-06-12,ALI=F,Srebro,30.422,USD,investing_com
2024-06-11,ALI=F,Srebro,29.386,USD,investing_com
2024-06-10,ALI=F,Srebro,30.03,USD,investing_com
2024-06-06,ALI=F,Srebro,31.532,USD,investing_com
2024-06-05,ALI=F,Srebro,30.229,USD,investing_com
2024-06-04,ALI=F,Srebro,29.772,USD,investing_com
2024-06-03,ALI=F,Srebro,30.942,USD,investing_com
2024-05-30,ALI=F,Srebro,31.68,USD,investing_com
2024-05-29,ALI=F,Srebro,32.373,USD,investing_com
2024-05-28,ALI=F,Srebro,32.137,USD,investing_com
2024-05-26,ALI=F,Srebro,30.715,USD,investing_com
2024-05-23,ALI=F,Srebro,30.455,USD,investing_com
2024-05-22,ALI=F,Srebro,31.496,USD,investing_com
2024-05-21,ALI=F,Srebro,32.078,USD,investing_com
2024-05-20,ALI=F,Srebro,32.426,USD,investing_com
2024-05-16,ALI=F,Srebro,29.876,USD,investing_com
2024-05-15,ALI=F,Srebro,29.729,USD,investing_com
2024-05-14,ALI=F,Srebro,28.702,USD,investing_com
2024-05-13,ALI=F,Srebro,28.443,USD,investing_com
