Date;Price;Open;High;Low;Vol.;Change %;;Kolumna B: symbol → wpisz HG=F we wszystkich wierszach (przeciągnij w dół)
06.09.2025;36.796;36.165;36.975;36.425;66.39K;2.77%;;
06.05.2025;35.805;34.65;36.51;35.755;85.16K;3.34%;;
06.04.2025;34.648;34.68;36.27;34.6;113.63K;0.04%;;
06.03.2025;34.633;34.92;34.825;34.355;50.00K;-0.18%;;
06.02.2025;34.694;33.13;34.935;34.165;75.48K;3.80%;;
05/29/2025;33.423;33.11;33.47;32.865;41.47K;0.79%;;
05/28/2025;33.16;33.38;33.655;32.8;50.05K;-0.45%;;
05/27/2025;33.311;33.61;33.58;33.035;41.20K;-0.85%;;
05/25/2025;33.595;33.618;33.745;32.88;60.14K;1.13%;;
05/22/2025;33.219;33.585;33.695;33.02;46.29K;-1.27%;;
05/21/2025;33.646;33.275;33.915;32.74;66.34K;1.42%;;
05/20/2025;33.174;32.5;33.78;33.125;59.59K;2.05%;;
05/19/2025;32.507;32.55;33.305;32.235;50.29K;-0.53%;;
05/15/2025;32.68;32.395;32.865;31.98;40.94K;0.73%;;
05/14/2025;32.444;33.085;32.82;31.78;45.07K;-1.98%;;
05/13/2025;33.1;32.8;33.15;32.255;47.79K;1.46%;;
05.12.2025;32.624;32.6;33.435;32.68;48.17K;0.02%;;
05.08.2025;32.617;32.575;33.04;32.36;32.46K;-0.53%;;
05.07.2025;32.791;33.47;33.095;32.37;48.49K;-1.77%;;
05.06.2025;33.381;32.695;33.48;32.415;49.63K;2.79%;;
05.05.2025;32.474;32.25;33.47;32.625;54.72K;0.02%;;
05.01.2025;32.469;32.81;32.975;32.12;40.59K;-1.09%;;
04/30/2025;32.828;33.195;32.865;31.86;43.16K;-2.23%;;
04/29/2025;33.577;33.4;33.345;32.385;53.71K;1.24%;;
04/28/2025;33.165;33.205;33.835;33.1;52.76K;-1.01%;;
04/24/2025;33.503;33.565;33.69;32.715;53.15K;-0.13%;;
04/23/2025;33.547;32.45;33.67;33.135;53.16K;1.95%;;
04/22/2025;32.905;32.64;33.675;32.05;87.82K;1.18%;;
04/21/2025;32.521;32.44;33.17;32.255;91.54K;-1.39%;;
04/16/2025;32.98;32.305;32.925;32.11;50.11K;2.11%;;
04/15/2025;32.297;32.28;33.175;32.255;63.04K;0.40%;;
04/14/2025;32.167;32.195;32.425;32.07;38.57K;4.58%;;
04.10.2025;30.759;30.99;32.21;30.865;92.34K;1.13%;;
04.09.2025;30.415;29.78;31.245;30.51;80.27K;2.46%;;
04.08.2025;29.686;30.09;31.065;29.255;96.91K;0.28%;;
04.07.2025;29.604;29.23;30.52;29.56;76.83K;-7.40%;;
04.03.2025;31.97;34.95;32.045;29.115;126.20K;-7.73%;;
